City,Country,Lat,Lng,Temperature (°F),Humidity,Wind Speed,Cloudiness
Butaritari,KI,3.07,172.79,82.13,100,9.75,44
Georgetown,SH,-7.93,-14.42,79.52,100,14.16,88
Rikitea,PF,-23.12,-134.97,80.33,100,17.63,64
Pytalovo,RU,57.06,27.92,25.61,93,13.78,92
Atuona,PF,-9.8,-139.03,82.31,98,21.94,32
Tiksi,RU,71.64,128.87,-35.77,68,2.98,0
Sitka,US,37.17,-99.65,65.57,25,8.08,0
Vidim,RU,56.41,103.11,13.91,82,5.32,44
Sobolevo,RU,54.43,31.9,19.58,88,9.13,88
Vila Franca do Campo,PT,37.72,-25.43,60.8,93,25.28,75
Vila do Maio,CV,15.13,-23.22,75.2,44,13.87,0
Tasiilaq,GL,65.61,-37.64,23.0,73,9.17,88
Nyurba,RU,63.29,118.35,-17.55,51,3.71,20
Qaanaaq,GL,77.48,-69.36,-18.45,100,2.59,24
Shuya,RU,56.84,41.38,-0.58,77,4.72,0
Tura,RU,64.27,100.22,6.13,85,2.26,88
Koraput,IN,18.81,82.72,72.46,56,3.87,64
Qeshm,IR,26.96,56.27,69.8,88,6.93,48
Cap Malheureux,MU,-19.98,57.61,75.2,83,2.24,20
Kulu,IN,31.97,77.1,30.92,56,1.86,76
Lewisporte,CA,49.25,-55.06,26.6,86,10.29,90
Avarua,CK,-21.21,-159.78,84.2,83,8.05,75
Riyadh,SA,24.63,46.72,68.0,28,2.24,0
Rio Gallegos,AR,-51.62,-69.22,51.8,50,12.75,75
Ushuaia,AR,-54.81,-68.31,44.6,65,6.93,40
Lisakovsk,KZ,52.55,62.49,12.02,86,3.27,88
Romans-sur-Isere,FR,45.05,5.06,39.2,80,8.9,0
Imbituba,BR,-28.24,-48.67,71.6,73,3.36,75
Sorsk,RU,54.0,90.25,-12.42,72,3.31,0
Kruisfontein,ZA,-34.0,24.73,63.41,91,14.12,44
Barrow,US,39.51,-90.4,39.2,58,9.17,1
Necochea,AR,-38.55,-58.74,73.09,41,11.32,0
Baoying,CN,33.24,119.31,30.83,86,4.76,0
Port Elizabeth,ZA,-33.92,25.57,64.4,72,11.41,0
Cayenne,GF,4.94,-52.33,80.6,74,9.17,75
Khandyga,RU,62.65,135.58,-12.37,59,3.6,36
